AccountNumber,Usagedate,Value,Meternumber
5000240-489992,1/17/2022,19,5000240-10450-1
5400880-11813,7/15/2019,28,5400880-10450-1
5400880-11813,5/16/2021,15,5400880-10450-1
5550300-564281,9/16/2019,16,5550300-10450-1
5550300-564281,9/14/2020,27,5550300-10450-1
5550300-564281,5/17/2022,19,5550300-10450-1
5100180-16825,7/15/2019,27,5100180-10450-1
5100180-16825,9/16/2019,21,5100180-10450-1
5100180-16825,1/14/2020,12,5100180-10450-1
5100180-16825,11/16/2020,9,5100180-10450-1
5100180-16825,3/15/2022,15,5100180-10450-1
5100280-654453,1/15/2019,26,5100280-10450-1
5003420-137427,3/17/2020,4,5003420-10450-1
5003420-137427,7/14/2020,4,5003420-10450-1
5003420-137427,7/13/2021,6,5003420-10450-1
5000240-489992,11/16/2020,23,5000240-10450-1
5003420-137427,3/15/2022,5,5003420-10450-1
5000240-489992,11/16/2021,17,5000240-10450-1
5000240-489992,3/17/2020,54,5000240-10450-1
5000240-489992,7/14/2020,19,5000240-10450-1
5202680-30433,5/12/2020,48,5202680-10450-1
5120850-533413,3/17/2020,9,5120850-10450-1
5100180-16825,1/13/2021,8,5100180-10450-1
5100180-16825,3/15/2021,5,5100180-10450-1
5100280-654453,9/16/2019,23,5100280-10450-1
5100280-654453,5/12/2020,8,5100280-10450-1
5100280-654453,7/14/2020,7,5100280-10450-1
5101060-34181,5/14/2019,24,5101060-10450-1
5101060-34181,7/13/2021,38,5101060-10450-1
5101060-34181,11/16/2021,31,5101060-10450-1
5101060-34181,1/17/2022,27,5101060-10450-1
5120850-533413,11/12/2019,10,5120850-10450-1
5120850-533413,9/14/2020,9,5120850-10450-1
5120850-533413,11/16/2021,11,5120850-10450-1
5150020-660806,5/17/2022,10,5150020-10450-1
5100180-16825,3/13/2019,10,5100180-10450-1
5100180-16825,5/16/2021,6,5100180-10450-1
5100180-16825,11/16/2021,25,5100180-10450-1
5100280-654453,3/17/2020,29,5100280-10450-1
5100280-654453,9/14/2020,32,5100280-10450-1
5100280-654453,11/16/2020,21,5100280-10450-1
5100280-654453,7/13/2021,22,5100280-10450-1
5100280-654453,1/17/2022,26,5100280-10450-1
5003420-137427,9/14/2020,6,5003420-10450-1
5003420-137427,9/14/2021,6,5003420-10450-1
5152000-93834,1/14/2020,30,5152000-10450-1
5101060-34181,9/14/2020,48,5101060-10450-1
5101060-34181,3/15/2022,27,5101060-10450-1
5101060-34181,5/17/2022,31,5101060-10450-1
5152560-57217,1/15/2019,12,5152560-10450-1
5152560-57217,9/14/2021,33,5152560-10450-1
5152560-57217,1/17/2022,32,5152560-10450-1
5152000-93834,11/16/2020,38,5152000-10450-1
5152000-93834,1/13/2021,25,5152000-10450-1
5152000-93834,7/13/2021,34,5152000-10450-1
5304550-661895,5/16/2021,12,5304550-10450-1
5304550-661895,9/14/2021,6,5304550-10450-1
5152560-57217,9/14/2020,55,5152560-10450-1
5152560-57217,7/13/2021,32,5152560-10450-1
5152560-57217,11/16/2020,62,5152560-10450-1
5152560-57217,3/15/2022,31,5152560-10450-1
5202680-30433,9/14/2020,58,5202680-10450-1
5202680-30433,11/16/2020,63,5202680-10450-1
5152560-57217,3/13/2019,8,5152560-10450-1
5152560-57217,5/12/2020,21,5152560-10450-1
5152560-57217,7/14/2020,26,5152560-10450-1
5152560-57217,5/16/2021,27,5152560-10450-1
5152560-57217,11/16/2021,35,5152560-10450-1
5120850-533413,5/12/2020,10,5120850-10450-1
5120850-533413,3/15/2021,7,5120850-10450-1
5120850-533413,5/16/2021,7,5120850-10450-1
5300749-659282,5/16/2021,15,5300749-10450-1
5300749-659282,3/15/2022,15,5300749-10450-1
4851240-74562,7/15/2019,54,4851240-10450-1
4851240-74562,1/13/2021,37,4851240-10450-1
4851240-74562,11/16/2021,39,4851240-10450-1
4851240-74562,3/15/2022,32,4851240-10450-1
4851300-361518,5/14/2019,39,4851300-10450-1
4851300-361518,11/16/2021,82,4851300-10450-1
5300749-659282,11/16/2020,18,5300749-10450-1
5300749-659282,9/14/2021,15,5300749-10450-1
5202680-30433,1/15/2019,23,5202680-10450-1
5202680-30433,9/16/2019,58,5202680-10450-1
5202680-30433,3/15/2021,37,5202680-10450-1
5202680-30433,3/15/2022,33,5202680-10450-1
5300749-659282,3/15/2021,12,5300749-10450-1
5304550-661895,3/15/2022,16,5304550-10450-1
5003420-137427,1/14/2020,3,5003420-10450-1
5400880-11813,3/13/2019,25,5400880-10450-1
5400880-11813,7/13/2021,16,5400880-10450-1
5400880-11813,3/15/2022,16,5400880-10450-1
5400880-11813,5/17/2022,19,5400880-10450-1
5101060-34181,3/13/2019,11,5101060-10450-1
5101060-34181,11/12/2019,29,5101060-10450-1
5101060-34181,5/16/2021,28,5101060-10450-1
5400880-11813,11/12/2019,32,5400880-10450-1
5400880-11813,3/15/2021,25,5400880-10450-1
5400880-11813,1/15/2019,25,5400880-10450-1
5120850-533413,1/15/2019,56,5120850-10450-1
5120850-533413,1/17/2022,11,5120850-10450-1
5120850-533413,5/16/2022,11,5120850-10450-1
5202680-30433,11/16/2021,43,5202680-10450-1
5550300-564281,1/15/2019,16,5550300-10450-1
5550300-564281,1/17/2022,17,5550300-10450-1
5550300-564281,7/14/2020,21,5550300-10450-1
5550300-564281,7/13/2021,23,5550300-10450-1
5550300-564281,5/12/2020,8,5550300-10450-1
5550300-564281,3/15/2022,13,5550300-10450-1
5655920-543419,11/12/2019,0,5655920-10450-1
5655920-543419,5/16/2021,0,5655920-10450-1
5655920-543419,3/15/2022,0,5655920-10450-1
5550300-564281,11/16/2020,13,5550300-10450-1
5550300-564281,1/13/2021,9,5550300-10450-1
5655920-543419,5/12/2020,0,5655920-10450-1
5655920-543419,7/13/2021,0,5655920-10450-1
5550300-564281,3/13/2019,7,5550300-10450-1
5550300-564281,5/14/2019,14,5550300-10450-1
5550300-564281,3/17/2020,9,5550300-10450-1
5550300-564281,5/16/2021,20,5550300-10450-1
5550300-564281,9/14/2021,10,5550300-10450-1
5550300-564281,11/16/2021,23,5550300-10450-1
3022320-668695,5/4/2022,5,3022320-10450-1
3152300-579316,5/4/2022,36,3152300-10450-1
3021970-365526,5/4/2022,5,3021970-10450-1
3301360-653043,5/4/2022,10,3301360-10450-1
3202580-6670,5/3/2022,23,3202580-10450-1
3650020-583981,5/4/2022,15,3650020-10450-1
3700780-556230,5/4/2022,11,3700780-10450-1
3056780-660221,5/4/2022,7,3056780-10450-1
3750900-29734,5/4/2022,8,3750900-10450-1
3302300-5019,5/4/2022,9,3302300-10450-1
3251400-655261,5/3/2022,46,3251400-10450-1
5100280-654453,1/13/2021,14,5100280-10450-1
5100280-654453,5/16/2021,16,5100280-10450-1
5100280-654453,3/15/2022,21,5100280-10450-1
5400880-11813,5/14/2019,36,5400880-10450-1
5400880-11813,9/16/2019,25,5400880-10450-1
5400880-11813,1/14/2020,14,5400880-10450-1
5152000-93834,3/13/2019,8,5152000-10450-1
5152000-93834,7/15/2019,43,5152000-10450-1
5152000-93834,3/15/2022,36,5152000-10450-1
5152560-57217,9/16/2019,25,5152560-10450-1
5300749-659282,7/14/2020,19,5300749-10450-1
5300749-659282,9/14/2020,25,5300749-10450-1
5550300-564281,11/12/2019,9,5550300-10450-1
5550300-564281,1/14/2020,12,5550300-10450-1
5400880-11813,7/14/2020,30,5400880-10450-1
5400880-11813,1/17/2022,28,5400880-10450-1
5655920-543419,1/15/2019,0,5655920-10450-1
5655920-543419,3/13/2019,0,5655920-10450-1
5655920-543419,5/14/2019,0,5655920-10450-1
5655920-543419,3/17/2020,0,5655920-10450-1
5655920-543419,7/15/2019,0,5655920-10450-1
5655920-543419,9/14/2020,0,5655920-10450-1
5655920-543419,1/13/2021,0,5655920-10450-1
5655920-543419,1/17/2022,0,5655920-10450-1
5655920-543419,9/16/2019,0,5655920-10450-1
5655920-543419,3/15/2021,0,5655920-10450-1
5655920-543419,1/14/2020,0,5655920-10450-1
5655920-543419,7/14/2020,0,5655920-10450-1
5655920-543419,5/17/2022,0,5655920-10450-1
3802470-667500,5/4/2022,42,3802470-10450-1
3452280-652248,5/4/2022,6,3452280-10450-1
3452520-661795,5/4/2022,16,3452520-10450-1
4001144-525476,5/3/2022,0,4001144-10450-1
3021490-660601,5/4/2022,4,3021490-10450-1
3802260-34116,5/4/2022,50,3802260-10450-1
3820370-28877,5/4/2022,44,3820370-10450-1
4301840-661148,5/3/2022,35,4301840-10450-1
4000400-578712,5/3/2022,21,4000400-10450-1
4001102-34166,5/3/2022,7,4001102-10450-1
4050680-74288,5/4/2022,0,4050680-10450-1
4851240-74562,5/4/2022,73,4851240-10450-1
5304550-661895,5/5/2022,16,5304550-10450-1
5003420-137427,5/4/2022,6,5003420-10450-1
5400880-11813,5/6/2022,19,5400880-10450-1
5100280-654453,5/5/2022,26,5100280-10450-1
5550300-564281,5/6/2022,19,5550300-10450-1
5101060-34181,5/6/2022,31,5101060-10450-1
5202680-30433,5/10/2022,43,5202680-10450-1
0403120-578380,6/14/2022,16,0403120-10450-1
3452520-661795,7/13/2022,11,3452520-10450-1
5100180-16825,7/12/2022,26,5100180-10450-1
4952120-34283,7/12/2022,14,4952120-10450-1
2900700-299334,6/14/2022,201,2900700-10450-1
1501000-475673,6/14/2022,10,1501000-10450-1
4050680-74288,6/15/2022,0,4050680-10450-1
3056780-660221,7/13/2022,7,3056780-10450-1
0754220-1205,6/14/2022,2,0754220-10450-1
3021490-660601,7/13/2022,3,3021490-10450-1
2151580-3091,6/14/2022,13,2151580-10450-1
5304550-661895,7/12/2022,18,5304550-10450-1
2101000-580998,6/14/2022,24,2101000-10450-1
0803740-11458,6/14/2022,7,0803740-10450-1
0204040-657296,6/14/2022,25,0204040-10450-1
1304740-572874,6/14/2022,8,1304740-10450-1
4451920-116674,7/12/2022,539,4451920-10450-1
5003420-137427,7/12/2022,6,5003420-10450-1
4050680-74288,7/12/2022,0,4050680-10450-1
5100280-654453,7/12/2022,24,5100280-10450-1
1752600-579193,6/14/2022,31,1752600-10450-1
2350420-53784,6/14/2022,0,2350420-10555-1
2501200-566904,6/14/2022,11,2501200-10450-1
5550300-564281,7/12/2022,28,5550300-10450-1
3802470-667500,7/13/2022,32,3802470-10450-1
2152860-653453,6/14/2022,28,2152860-10450-1
4701980-535093,7/12/2022,27,4701980-10450-1
3301360-653043,7/13/2022,10,3301360-10450-1
5655920-543419,7/12/2022,0,5655920-10450-1
1203000-5278,6/14/2022,59,1203000-10450-1
2151060-5650,6/14/2022,21,2151060-10450-1
0405800-661521,6/14/2022,19,0405800-10450-1
3200360-655257,7/12/2022,82,3200360-10450-1
2801500-2856,6/14/2022,47,2801500-10450-1
2151740-652066,6/14/2022,5,2151740-10450-1
1751460-171829,6/14/2022,21,1751460-10450-1
2500080-28053,6/14/2022,31,2500080-10450-1
5152000-93834,7/12/2022,64,5152000-10450-1
1902800-651600,6/14/2022,35,1902800-10450-1
0101280-110404,6/14/2022,13,0101280-10450-1
1503120-27416,6/14/2022,24,1503120-10450-1
2151800-13998,6/14/2022,23,2151800-10450-1
5000240-489992,7/12/2022,26,5000240-10450-1
0802140-505590,6/14/2022,5,0802140-10450-1
3021970-365526,7/13/2022,4,3021970-10450-1
0754600-1150,8/14/2022,15,0754600-10450-1
0802140-505590,8/14/2022,8,0802140-10450-1
0803400-565296,8/14/2022,14,0803400-10450-1
0952780-661726,8/14/2022,16,0952780-10450-1
0601540-31504,8/15/2022,13,0601540-10450-1
0803740-11458,8/14/2022,13,0803740-10450-1
0650640-135726,8/15/2022,13,0650640-10450-1
0701540-418077,8/14/2022,7,0701540-10450-1
0850720-4446,8/14/2022,4,0850720-10450-1
0754220-1205,8/14/2022,2,0754220-10450-1
1051164-111764,8/14/2022,74,1051164-10450-1
1003610-655484,8/14/2022,1,1003610-10450-1
1304740-572874,8/14/2022,7,1304740-10450-1
1203000-5278,8/14/2022,174,1203000-10450-1
1453540-7563,8/15/2022,20,1453540-10450-1
1451200-8924,8/15/2022,23,1451200-10450-1
2202200-553150,8/15/2022,19,2202200-10450-1
2401580-149839,8/15/2022,59,2401580-10450-1
2801500-2856,8/14/2022,55,2801500-10450-1
2650020-660880,8/14/2022,15,2650020-10450-1
2350420-53784,8/15/2022,224,2350420-10450-1
2751760-15668,8/14/2022,28,2751760-10450-1
2653980-666640,8/14/2022,67,2653980-10450-1
2151580-3091,8/15/2022,17,2151580-10450-1
2950017-18579,8/14/2022,1,2950017-10450-1
2501200-566904,8/15/2022,31,2501200-10450-1
2801620-661118,8/14/2022,38,2801620-10450-1
3200360-655257,5/3/2022,63,3200360-10450-1
4451920-116674,5/4/2022,328,4451920-10450-1
4453900-1004,5/4/2022,618,4453900-10450-1
4651040-20011,5/3/2022,29,4651040-10450-1
5152560-57217,5/9/2022,32,5152560-10450-1
4701980-535093,5/3/2022,23,4701980-10450-1
4652460-21725,5/3/2022,22,4652460-10450-1
4851300-361518,5/4/2022,30,4851300-10450-1
5000240-489992,5/4/2022,18,5000240-10450-1
5120850-533413,5/4/2022,11,5120850-10450-1
4902280-667753,5/5/2022,3,4902280-10450-1
5300749-659282,5/5/2022,12,5300749-10450-1
5150020-660806,5/9/2022,10,5150020-10450-1
5152000-93834,5/9/2022,55,5152000-10450-1
4952120-34283,5/4/2022,13,4952120-10450-1
5100180-16825,5/6/2022,23,5100180-10450-1
4451860-15099,5/4/2022,2,4451860-10450-1
5655920-543419,5/9/2022,0,5655920-10450-1
4851300-361518,7/12/2022,33,4851300-10450-1
0952780-661726,6/14/2022,15,0952780-10450-1
0601540-31504,6/14/2022,18,0601540-10450-1
0401740-1725,6/14/2022,18,0401740-10450-1
5400880-11813,7/12/2022,30,5400880-10450-1
1451200-8924,6/14/2022,19,1451200-10450-1
0850720-4446,6/14/2022,4,0850720-10450-1
3251400-655261,7/12/2022,52,3251400-10450-1
2803480-28138,6/14/2022,23,2803480-10450-1
3152300-579316,7/13/2022,47,3152300-10450-1
5101060-34181,7/12/2022,38,5101060-10450-1
2350660-657392,6/14/2022,13,2350660-10450-1
3802260-34116,7/13/2022,52,3802260-10450-1
3650020-583981,7/13/2022,14,3650020-10450-1
4453900-1004,7/12/2022,649,4453900-10450-1
5152560-57217,7/12/2022,30,5152560-10450-1
0550840-32048,6/14/2022,19,0550840-10450-1
4652460-21725,7/12/2022,30,4652460-10450-1
4451860-15099,7/12/2022,2,4451860-10450-1
4651040-20011,7/12/2022,28,4651040-10450-1
1203360-564279,6/14/2022,9,1203360-10450-1
1453540-7563,6/14/2022,19,1453540-10450-1
0350060-660237,6/14/2022,31,0350060-10450-1
2653980-666640,6/14/2022,49,2653980-10450-1
5150020-660806,7/12/2022,21,5150020-10450-1
5120850-533413,7/13/2022,12,5120850-10450-1
0701540-418077,6/14/2022,10,0701540-10450-1
5202680-30433,7/12/2022,38,5202680-10450-1
2401580-149839,6/14/2022,42,2401580-10450-1
0754600-1150,6/14/2022,11,0754600-10450-1
4301840-661148,7/12/2022,32,4301840-10450-1
2650020-660880,6/14/2022,3,2650020-10450-1
4902280-667753,7/12/2022,7,4902280-10450-1
4000400-578712,7/12/2022,21,4000400-10450-1
0800040-126095,6/14/2022,93,0800040-10450-1
0650640-135726,6/14/2022,9,0650640-10450-1
4001144-525476,7/12/2022,0,4001144-10450-1
2202200-553150,6/14/2022,18,2202200-10450-1
3022320-668695,7/13/2022,7,3022320-10450-1
2350420-53784,6/14/2022,258,2350420-10450-1
2801620-661118,6/14/2022,38,2801620-10450-1
4851240-74562,7/12/2022,-1,4851240-10450-1
3750900-29734,7/13/2022,9,3750900-10450-1
3302300-5019,7/13/2022,8,3302300-10450-1
3202580-6670,7/12/2022,27,3202580-10450-1
0202320-657225,6/14/2022,28,0202320-10450-1
3452280-652248,7/13/2022,5,3452280-10450-1
1003610-655484,6/14/2022,2,1003610-10450-1
2950017-18579,6/14/2022,1,2950017-10450-1
4001102-34166,7/12/2022,8,4001102-10450-1
2751760-15668,6/14/2022,29,2751760-10450-1
0803400-565296,6/14/2022,11,0803400-10450-1
1051164-111764,6/14/2022,31,1051164-10450-1
3820370-28877,7/13/2022,42,3820370-10450-1
5300749-659282,7/12/2022,20,5300749-10450-1
3700780-556230,7/13/2022,9,3700780-10450-1
0101280-110404,8/14/2022,13,0101280-10450-1
0202320-657225,8/14/2022,34,0202320-10450-1
0204040-657296,8/14/2022,25,0204040-10450-1
0350060-660237,8/14/2022,27,0350060-10450-1
0405800-661521,8/14/2022,23,0405800-10450-1
0401740-1725,8/14/2022,23,0401740-10450-1
0403120-578380,8/14/2022,17,0403120-10450-1
0550840-32048,8/15/2022,15,0550840-10450-1
0800040-126095,8/14/2022,92,0800040-10450-1
1751460-171829,8/15/2022,28,1751460-10450-1
1752600-579193,8/15/2022,47,1752600-10450-1
2151060-5650,8/15/2022,18,2151060-10450-1
1203360-564279,8/14/2022,18,1203360-10450-1
1902800-651600,8/14/2022,39,1902800-10450-1
1501000-475673,8/15/2022,22,1501000-10450-1
2152860-653453,8/15/2022,36,2152860-10450-1
1503120-27416,8/15/2022,28,1503120-10450-1
2350420-53784,8/15/2022,0,2350420-10555-1
2101000-580998,8/15/2022,22,2101000-10450-1
2900700-299334,8/14/2022,280,2900700-10450-1
2500080-28053,8/15/2022,37,2500080-10450-1
2151800-13998,8/15/2022,18,2151800-10450-1
2350660-657392,8/15/2022,13,2350660-10450-1
2151740-652066,8/15/2022,5,2151740-10450-1
3302300-5019,9/13/2022,8,3302300-10450-1
3452520-661795,9/13/2022,11,3452520-10450-1
3452280-652248,9/13/2022,8,3452280-10450-1
3700780-556230,9/13/2022,10,3700780-10450-1
3650020-583981,9/13/2022,13,3650020-10450-1
3301360-653043,9/13/2022,10,3301360-10450-1
3820370-28877,9/13/2022,48,3820370-10450-1
3802260-34116,9/13/2022,64,3802260-10450-1
3802470-667500,9/13/2022,30,3802470-10450-1
3750900-29734,9/13/2022,8,3750900-10450-1
4000400-578712,9/13/2022,21,4000400-10450-1
5100180-16825,9/13/2022,25,5100180-10450-1
5100280-654453,9/13/2022,21,5100280-10450-1
5152000-93834,9/13/2022,60,5152000-10450-1
5101060-34181,9/13/2022,32,5101060-10450-1
5202680-30433,9/13/2022,36,5202680-10450-1
5120850-533413,9/13/2022,9,5120850-10450-1
5550300-564281,9/13/2022,11,5550300-10450-1
5304550-661895,9/13/2022,11,5304550-10450-1
5655920-543419,9/13/2022,0,5655920-10450-1
0101280-110404,10/16/2022,18,0101280-10450-1
1003610-655484,10/16/2022,1,1003610-10450-1
4050680-74288,8/15/2022,0,4050680-10450-1
3022320-668695,9/13/2022,4,3022320-10450-1
3021490-660601,9/13/2022,4,3021490-10450-1
3021970-365526,9/13/2022,4,3021970-10450-1
3202580-6670,9/13/2022,26,3202580-10450-1
3200360-655257,9/13/2022,91,3200360-10450-1
3152300-579316,9/13/2022,51,3152300-10450-1
3056780-660221,9/13/2022,6,3056780-10450-1
3251400-655261,9/13/2022,57,3251400-10450-1
4001144-525476,9/13/2022,0,4001144-10450-1
4001102-34166,9/13/2022,3,4001102-10450-1
4050680-74288,9/14/2022,0,4050680-10450-1
4453900-1004,9/13/2022,572,4453900-10450-1
4451860-15099,9/13/2022,2,4451860-10450-1
4652460-21725,9/13/2022,37,4652460-10450-1
4902280-667753,9/13/2022,5,4902280-10450-1
4451920-116674,9/13/2022,480,4451920-10450-1
4301840-661148,9/13/2022,33,4301840-10450-1
5003420-137427,9/13/2022,4,5003420-10450-1
4851300-361518,9/13/2022,44,4851300-10450-1
4952120-34283,9/13/2022,10,4952120-10450-1
5000240-489992,9/13/2022,26,5000240-10450-1
4651040-20011,9/13/2022,35,4651040-10450-1
5150020-660806,9/13/2022,22,5150020-10450-1
5152560-57217,9/13/2022,29,5152560-10450-1
4701980-535093,9/13/2022,21,4701980-10450-1
5300749-659282,9/13/2022,9,5300749-10450-1
4851240-74562,9/13/2022,59,4851240-10450-1
5400880-11813,9/13/2022,28,5400880-10450-1
0204040-657296,10/16/2022,35,0204040-10450-1
0202320-657225,10/16/2022,36,0202320-10450-1
0350060-660237,10/16/2022,43,0350060-10450-1
0401740-1725,10/16/2022,16,0401740-10450-1
0403120-578380,10/16/2022,21,0403120-10450-1
0405800-661521,10/16/2022,23,0405800-10450-1
0550840-32048,10/16/2022,19,0550840-10450-1
0601540-31504,10/16/2022,13,0601540-10450-1
0800040-126095,10/16/2022,110,0800040-10450-1
0803400-565296,10/16/2022,13,0803400-10450-1
0754600-1150,10/16/2022,14,0754600-10450-1
0802140-505590,10/16/2022,12,0802140-10450-1
0701540-418077,10/16/2022,10,0701540-10450-1
0803740-11458,10/16/2022,11,0803740-10450-1
0754220-1205,10/16/2022,2,0754220-10450-1
0650640-135726,10/16/2022,11,0650640-10450-1
0952780-661726,10/16/2022,16,0952780-10450-1
2151740-652066,10/16/2022,4,2151740-10450-1
2350420-53784,10/16/2022,0,2350420-10555-1
2151580-3091,10/16/2022,39,2151580-10450-1
2152860-653453,10/16/2022,22,2152860-10450-1
2151060-5650,10/16/2022,22,2151060-10450-1
2202200-553150,10/16/2022,17,2202200-10450-1
2101000-580998,10/16/2022,24,2101000-10450-1
2151800-13998,10/16/2022,19,2151800-10450-1
2350420-53784,10/16/2022,259,2350420-10450-1
2653980-666640,10/16/2022,84,2653980-10450-1
2751760-15668,10/16/2022,30,2751760-10450-1
2801620-661118,10/16/2022,40,2801620-10450-1
2650020-660880,10/16/2022,11,2650020-10450-1
2500080-28053,10/16/2022,41,2500080-10450-1
2350660-657392,10/16/2022,14,2350660-10450-1
2401580-149839,10/16/2022,57,2401580-10450-1
2501200-566904,10/16/2022,20,2501200-10450-1
2950017-18579,10/16/2022,1,2950017-10450-1
2801500-2856,10/16/2022,59,2801500-10450-1
2900700-299334,10/16/2022,463,2900700-10450-1
3802260-34116,11/14/2022,58,3802260-10450-1
3802470-667500,11/14/2022,25,3802470-10450-1
4050680-74288,11/15/2022,0,4050680-10450-1
4001102-34166,11/15/2022,15,4001102-10450-1
4001144-525476,11/15/2022,0,4001144-10450-1
4000400-578712,11/15/2022,14,4000400-10450-1
4451920-116674,11/15/2022,311,4451920-10450-1
4453900-1004,11/15/2022,1184,4453900-10450-1
4301840-661148,11/15/2022,0,4301840-10450-1
4651040-20011,11/15/2022,24,4651040-10450-1
4451860-15099,11/15/2022,1,4451860-10450-1
5000240-489992,11/15/2022,22,5000240-10450-1
5400880-11813,11/15/2022,43,5400880-10450-1
5655920-543419,11/15/2022,0,5655920-10450-1
0101280-110404,12/13/2022,14,0101280-10450-1
0202320-657225,12/13/2022,29,0202320-10450-1
0204040-657296,12/13/2022,28,0204040-10450-1
0350060-660237,12/13/2022,82,0350060-10450-1
0405800-661521,12/13/2022,25,0405800-10450-1
0550840-32048,12/13/2022,18,0550840-10450-1
0650640-135726,12/13/2022,10,0650640-10450-1
1902800-651600,12/13/2022,39,1902800-10450-1
2151800-13998,12/13/2022,18,2151800-10450-1
2151060-5650,12/13/2022,18,2151060-10450-1
2151740-652066,12/13/2022,7,2151740-10450-1
2101000-580998,12/13/2022,23,2101000-10450-1
2151580-3091,12/13/2022,-3,2151580-10450-1
2152860-653453,12/13/2022,23,2152860-10450-1
2350660-657392,12/13/2022,14,2350660-10450-1
2350420-53784,12/13/2022,0,2350420-10555-1
2500080-28053,12/13/2022,25,2500080-10450-1
2401580-149839,12/13/2022,41,2401580-10450-1
2751760-15668,12/13/2022,26,2751760-10450-1
2801620-661118,12/13/2022,27,2801620-10450-1
2653980-666640,12/13/2022,71,2653980-10450-1
2501200-566904,12/13/2022,12,2501200-10450-1
4050680-74288,12/14/2022,0,4050680-10450-1
2650020-660880,12/13/2022,12,2650020-10450-1
2900700-299334,12/13/2022,331,2900700-10450-1
2801500-2856,12/13/2022,26,2801500-10450-1
3301360-653043,1/17/2023,9,3301360-10450-1
3452280-652248,1/17/2023,5,3452280-10450-1
3452520-661795,1/17/2023,13,3452520-10450-1
3802260-34116,1/17/2023,32,3802260-10450-1
3802470-667500,1/17/2023,20,3802470-10450-1
3700780-556230,1/17/2023,10,3700780-10450-1
3650020-583981,1/17/2023,12,3650020-10450-1
3750900-29734,1/17/2023,8,3750900-10450-1
4001102-34166,1/16/2023,9,4001102-10450-1
4050680-74288,1/17/2023,0,4050680-10450-1
4000400-578712,1/16/2023,18,4000400-10450-1
4001144-525476,1/16/2023,0,4001144-10450-1
4301840-661148,1/17/2023,84,4301840-10450-1
4451860-15099,1/16/2023,2,4451860-10450-1
1051164-111764,10/16/2022,58,1051164-10450-1
0850720-4446,10/16/2022,3,0850720-10450-1
1203360-564279,10/16/2022,21,1203360-10450-1
1304740-572874,10/16/2022,12,1304740-10450-1
1501000-475673,10/16/2022,15,1501000-10450-1
1453540-7563,10/16/2022,16,1453540-10450-1
1203000-5278,10/16/2022,80,1203000-10450-1
1451200-8924,10/16/2022,22,1451200-10450-1
1503120-27416,10/16/2022,26,1503120-10450-1
1751460-171829,10/16/2022,23,1751460-10450-1
1902800-651600,10/16/2022,49,1902800-10450-1
1752600-579193,10/16/2022,46,1752600-10450-1
4050680-74288,10/17/2022,0,4050680-10450-1
3021490-660601,11/14/2022,3,3021490-10450-1
3021970-365526,11/14/2022,4,3021970-10450-1
3022320-668695,11/14/2022,6,3022320-10450-1
3056780-660221,11/14/2022,6,3056780-10450-1
3152300-579316,11/14/2022,44,3152300-10450-1
3202580-6670,11/15/2022,24,3202580-10450-1
3452280-652248,11/14/2022,6,3452280-10450-1
3200360-655257,11/15/2022,62,3200360-10450-1
3251400-655261,11/15/2022,9,3251400-10450-1
3452520-661795,11/14/2022,12,3452520-10450-1
3650020-583981,11/14/2022,14,3650020-10450-1
3700780-556230,11/14/2022,10,3700780-10450-1
3301360-653043,11/14/2022,8,3301360-10450-1
3302300-5019,11/14/2022,8,3302300-10450-1
3820370-28877,11/14/2022,39,3820370-10450-1
3750900-29734,11/14/2022,9,3750900-10450-1
4652460-21725,11/15/2022,50,4652460-10450-1
5100280-654453,11/15/2022,25,5100280-10450-1
4952120-34283,11/15/2022,49,4952120-10450-1
5100180-16825,11/15/2022,25,5100180-10450-1
5101060-34181,11/15/2022,35,5101060-10450-1
4851300-361518,11/15/2022,41,4851300-10450-1
4851240-74562,11/15/2022,41,4851240-10450-1
5003420-137427,11/15/2022,6,5003420-10450-1
4902280-667753,11/15/2022,8,4902280-10450-1
5202680-30433,11/15/2022,38,5202680-10450-1
5152560-57217,11/15/2022,31,5152560-10450-1
4701980-535093,11/15/2022,14,4701980-10450-1
5300749-659282,11/15/2022,8,5300749-10450-1
5304550-661895,11/15/2022,9,5304550-10450-1
5152000-93834,11/15/2022,42,5152000-10450-1
5150020-660806,11/15/2022,26,5150020-10450-1
5120850-533413,11/14/2022,11,5120850-10450-1
5550300-564281,11/15/2022,14,5550300-10450-1
0754220-1205,12/13/2022,2,0754220-10450-1
0754600-1150,12/13/2022,14,0754600-10450-1
0701540-418077,12/13/2022,9,0701540-10450-1
0803740-11458,12/13/2022,10,0803740-10450-1
0802140-505590,12/13/2022,10,0802140-10450-1
0803400-565296,12/13/2022,11,0803400-10450-1
0850720-4446,12/13/2022,4,0850720-10450-1
0952780-661726,12/13/2022,15,0952780-10450-1
1051164-111764,12/13/2022,16,1051164-10450-1
1304740-572874,12/13/2022,16,1304740-10450-1
1203360-564279,12/13/2022,19,1203360-10450-1
1453540-7563,12/13/2022,19,1453540-10450-1
1503120-27416,12/13/2022,22,1503120-10450-1
1752600-579193,12/13/2022,37,1752600-10450-1
1751460-171829,12/13/2022,14,1751460-10450-1
0403120-578380,12/13/2022,16,0403120-10450-1
0401740-1725,12/13/2022,11,0401740-10450-1
0601540-31504,12/13/2022,15,0601540-10450-1
0800040-126095,12/13/2022,99,0800040-10450-1
1003610-655484,12/13/2022,2,1003610-10450-1
